Year,Observation status,Unit multiplier,Nature of data points,Source details,SERIES,Reference area,UNIT_MEASURE,GeoCode,Value
2012,Normal value,Units,Country Data,National_SDG_Report,Average annual income generated by livestock (in CFA Francs XAF),,Local currency,,360439
2012,Normal value,Units,Country Data,National_SDG_Report,Average annual income generated by agriculture (In CFA Francs XAF),,Local currency,,518831
2012,Normal value,Units,Country Data,National_SDG_Report,Average annual income generated by livestock (in CFA Francs XAF),ADAMAWA,Local currency,CM_AD,479861
2012,Normal value,Units,Country Data,National_SDG_Report,Average annual income generated by livestock (in CFA Francs XAF),CENTRE,Local currency,CM_CE,145966
2012,Normal value,Units,Country Data,National_SDG_Report,Average annual income generated by livestock (in CFA Francs XAF),EAST,Local currency,CM_ES,229255
2012,Normal value,Units,Country Data,National_SDG_Report,Average annual income generated by livestock (in CFA Francs XAF),FAR NORTH,Local currency,CM_EN,243336
2012,Normal value,Units,Country Data,National_SDG_Report,Average annual income generated by livestock (in CFA Francs XAF),LittoraL,Local currency,CM_LT,502447
2012,Normal value,Units,Country Data,National_SDG_Report,Average annual income generated by livestock (in CFA Francs XAF),North,Local currency,CM_NO,430857
2012,Normal value,Units,Country Data,National_SDG_Report,Average annual income generated by livestock (in CFA Francs XAF),North West,Local currency,CM_NW,576369
2012,Normal value,Units,Country Data,National_SDG_Report,Average annual income generated by livestock (in CFA Francs XAF),West,Local currency,CM_OU,210989
2012,Normal value,Units,Country Data,National_SDG_Report,Average annual income generated by livestock (in CFA Francs XAF),South,Local currency,CM_SU,692982
2012,Normal value,Units,Country Data,National_SDG_Report,Average annual income generated by livestock (in CFA Francs XAF),South-West,Local currency,CM_SW,195909
2012,Normal value,Units,Country Data,National_SDG_Report,Average annual income generated by agriculture (In CFA Francs XAF),ADAMAWA,Local currency,CM_AD,1007072
2012,Normal value,Units,Country Data,National_SDG_Report,Average annual income generated by agriculture (In CFA Francs XAF),CENTRE,Local currency,CM_CE,572614
2012,Normal value,Units,Country Data,National_SDG_Report,Average annual income generated by agriculture (In CFA Francs XAF),EAST,Local currency,CM_ES,779030
2012,Normal value,Units,Country Data,National_SDG_Report,Average annual income generated by agriculture (In CFA Francs XAF),FAR NORTH,Local currency,CM_EN,336576
2012,Normal value,Units,Country Data,National_SDG_Report,Average annual income generated by agriculture (In CFA Francs XAF),LittoraL,Local currency,CM_LT,835771
2012,Normal value,Units,Country Data,National_SDG_Report,Average annual income generated by agriculture (In CFA Francs XAF),North,Local currency,CM_NO,704686
2012,Normal value,Units,Country Data,National_SDG_Report,Average annual income generated by agriculture (In CFA Francs XAF),North West,Local currency,CM_NW,260944
2012,Normal value,Units,Country Data,National_SDG_Report,Average annual income generated by agriculture (In CFA Francs XAF),West,Local currency,CM_OU,423690
2012,Normal value,Units,Country Data,National_SDG_Report,Average annual income generated by agriculture (In CFA Francs XAF),South,Local currency,CM_SU,854499
2012,Normal value,Units,Country Data,National_SDG_Report,Average annual income generated by agriculture (In CFA Francs XAF),South-West,Local currency,CM_SW,462931
