Year,Observation status,Unit multiplier,Nature of data points,Source details,SERIES,Reference area,UNIT_MEASURE,GeoCode,Value
1991,Normal value,Units,Country Data,National_SDG_Report,Under-five mortality rate [3.2.1],,"Per 1,000 live births",,125
1998,Normal value,Units,Country Data,National_SDG_Report,Under-five mortality rate [3.2.1],,"Per 1,000 live births",,151
2004,Normal value,Units,Country Data,National_SDG_Report,Under-five mortality rate [3.2.1],,"Per 1,000 live births",,144
2011,Normal value,Units,Country Data,National_SDG_Report,Under-five mortality rate [3.2.1],,"Per 1,000 live births",,122
2014,Normal value,Units,Country Data,National_SDG_Report,Under-five mortality rate [3.2.1],,"Per 1,000 live births",,112
2018,Normal value,Units,Country Data,National_SDG_Report,Under-five mortality rate [3.2.1],,"Per 1,000 live births",,79
1991,Normal value,Units,Country Data,National_SDG_Report,Infant mortality rate [3.2.1],,"Per 1,000 live births",,64
1998,Normal value,Units,Country Data,National_SDG_Report,Infant mortality rate [3.2.1],,"Per 1,000 live births",,77
2004,Normal value,Units,Country Data,National_SDG_Report,Infant mortality rate [3.2.1],,"Per 1,000 live births",,74
2011,Normal value,Units,Country Data,National_SDG_Report,Infant mortality rate [3.2.1],,"Per 1,000 live births",,62
2014,Normal value,Units,Country Data,National_SDG_Report,Infant mortality rate [3.2.1],,"Per 1,000 live births",,66
2018,Normal value,Units,Country Data,National_SDG_Report,Infant mortality rate [3.2.1],,"Per 1,000 live births",,48
