Year,SERIES,Degree of urbanisation,Education level,Value
2014,Proportion of women aged 20-24 years who were married or in a union before age 15 [5.3.1],Urban,,5.3
2014,Proportion of women aged 20-24 years who were married or in a union before age 15 [5.3.1],Rural,,16.1
2014,Proportion of women aged 20-24 years who were married or in a union before age 15 [5.3.1],,Never attended an education programme / No schooling,21.7
2014,Proportion of women aged 20-24 years who were married or in a union before age 15 [5.3.1],,Primary education,19.0
2014,Proportion of women aged 20-24 years who were married or in a union before age 15 [5.3.1],,Secondary education (lower and upper secondary education),3.6
2014,Proportion of women aged 20-24 years who were married or in a union before age 15 [5.3.1],,Tertiary education,0.4
2014,Proportion of women aged 20-24 years who were married or in a union before age 15 [5.3.1],,,10.2
2018,Proportion of women aged 20-24 years who were married or in a union before age 15 [5.3.1],,,10.7
2014,Proportion of women aged 20-24 years who were married or in a union before age 18 [5.3.1],Urban,,20.8
2014,Proportion of women aged 20-24 years who were married or in a union before age 18 [5.3.1],Rural,,43.3
2014,Proportion of women aged 20-24 years who were married or in a union before age 18 [5.3.1],,Never attended an education programme / No schooling,59.4
2014,Proportion of women aged 20-24 years who were married or in a union before age 18 [5.3.1],,Primary education,49.6
2014,Proportion of women aged 20-24 years who were married or in a union before age 18 [5.3.1],,Secondary education (lower and upper secondary education),15.9
2014,Proportion of women aged 20-24 years who were married or in a union before age 18 [5.3.1],,Tertiary education,0.8
2014,Proportion of women aged 20-24 years who were married or in a union before age 18 [5.3.1],,,31.0
2018,Proportion of women aged 20-24 years who were married or in a union before age 18 [5.3.1],,,29.8
