Year,SERIES,Time period details,Value
2017,Proportion of women in the Senate (%),2023,20.0
2020,Proportion of women in the Senate (%),2023,26.0
2023,Proportion of women in the Senate (%),2023,33.0
2017,Proportion of women in the national assembly (%),2023,30.6
2018,Proportion of women in the national assembly (%),2023,31.11
2023,Proportion of women in the national assembly (%),2023,33.89
2017,Proportion of women Mayors (%),2023,8.3
2023,Proportion of women Mayors (%),2023,10.16
2017,Proportion of women deputies to the mayor (%),2023,31.8
2023,Proportion of women deputies to the mayor (%),2023,34.13
2015,Proportion of women in the territorial command sphere (%),2015,6.0
