Year,Observation status,Unit multiplier,Nature of data points,Source details,SERIES,Reference area,Degree of urbanisation,Education level,UNIT_MEASURE,GeoCode,Value
2014,Normal value,Units,Country Data,National_SDG_Report,_L_CM_050601_01,,Urban,,Percent,,15.6
2018,Normal value,Units,Country Data,National_SDG_Report,_L_CM_050601_01,,Urban,,Percent,,5.4
2014,Normal value,Units,Country Data,National_SDG_Report,_L_CM_050601_01,,Rural,,Percent,,11.4
2018,Normal value,Units,Country Data,National_SDG_Report,_L_CM_050601_01,,Rural,,Percent,,2.5
2014,Normal value,Units,Country Data,National_SDG_Report,_L_CM_050601_01,,,Never attended an education programme / No schooling,Percent,,5.0
2014,Normal value,Units,Country Data,National_SDG_Report,_L_CM_050601_01,,,Primary education,Percent,,15.7
2014,Normal value,Units,Country Data,National_SDG_Report,_L_CM_050601_01,,,Secondary education (lower and upper secondary education),Percent,,18.7
2014,Normal value,Units,Country Data,National_SDG_Report,_L_CM_050601_01,,,Tertiary education,Percent,,12.3
2014,Normal value,Units,Country Data,National_SDG_Report,_L_CM_050601_01,,,,Percent,,13.3
2018,Normal value,Units,Country Data,National_SDG_Report,_L_CM_050601_01,,,,Percent,,3.9
2014,Normal value,Units,Country Data,National_SDG_Report,_L_CM_050601_02,,Urban,,Percent,,26.7
2018,Normal value,Units,Country Data,National_SDG_Report,_L_CM_050601_02,,Urban,,Percent,,20.7
2014,Normal value,Units,Country Data,National_SDG_Report,_L_CM_050601_02,,Rural,,Percent,,16.3
2018,Normal value,Units,Country Data,National_SDG_Report,_L_CM_050601_02,,Rural,,Percent,,10.6
2014,Normal value,Units,Country Data,National_SDG_Report,_L_CM_050601_02,,,Never attended an education programme / No schooling,Percent,,9.9
2014,Normal value,Units,Country Data,National_SDG_Report,_L_CM_050601_02,,,Primary education,Percent,,21.9
2014,Normal value,Units,Country Data,National_SDG_Report,_L_CM_050601_02,,,Secondary education (lower and upper secondary education),Percent,,28.8
2014,Normal value,Units,Country Data,National_SDG_Report,_L_CM_050601_02,,,Tertiary education,Percent,,36.3
2014,Normal value,Units,Country Data,National_SDG_Report,_L_CM_050601_02,,,,Percent,,21.0
2018,Normal value,Units,Country Data,National_SDG_Report,_L_CM_050601_02,,,,Percent,,15.4
2014,Normal value,Units,Country Data,National_SDG_Report,_L_CM_050601_03,,Urban,,Percent,,42.4
2018,Normal value,Units,Country Data,National_SDG_Report,_L_CM_050601_03,,Urban,,Percent,,26.1
2014,Normal value,Units,Country Data,National_SDG_Report,_L_CM_050601_03,,Rural,,Percent,,27.7
2018,Normal value,Units,Country Data,National_SDG_Report,_L_CM_050601_03,,Rural,,Percent,,13.1
2014,Normal value,Units,Country Data,National_SDG_Report,_L_CM_050601_03,,,Never attended an education programme / No schooling,Percent,,14.9
2014,Normal value,Units,Country Data,National_SDG_Report,_L_CM_050601_03,,,Primary education,Percent,,37.7
2014,Normal value,Units,Country Data,National_SDG_Report,_L_CM_050601_03,,,Secondary education (lower and upper secondary education),Percent,,47.6
2014,Normal value,Units,Country Data,National_SDG_Report,_L_CM_050601_03,,,Tertiary education,Percent,,48.5
2014,Normal value,Units,Country Data,National_SDG_Report,_L_CM_050601_03,,,,Percent,,34.4
2018,Normal value,Units,Country Data,National_SDG_Report,_L_CM_050601_03,,,,Percent,,19.3
