Year,Observation status,Unit multiplier,Nature of data points,Source details,SERIES,Reference area,Sex,Education level,UNIT_MEASURE,GeoCode,Value
2014,Normal value,Units,Country Data,National_SDG_Report,_L_CM_080301_01,,Female,,Percent,,85.3
2016,Normal value,Units,Country Data,National_SDG_Report,_L_CM_080301_01,,Female,,Percent,,76.1
2014,Normal value,Units,Country Data,National_SDG_Report,_L_CM_080301_01,,Male,,Percent,,75.8
2016,Normal value,Units,Country Data,National_SDG_Report,_L_CM_080301_01,,Male,,Percent,,69.1
2014,Normal value,Units,Country Data,National_SDG_Report,_L_CM_080301_01,,,Never attended an education programme / No schooling,Percent,,95.5
2014,Normal value,Units,Country Data,National_SDG_Report,_L_CM_080301_01,,,Primary education,Percent,,92.9
2014,Normal value,Units,Country Data,National_SDG_Report,_L_CM_080301_01,,,Lower secondary education,Percent,,86.4
2014,Normal value,Units,Country Data,National_SDG_Report,_L_CM_080301_01,,,Upper secondary education,Percent,,67.1
2014,Normal value,Units,Country Data,National_SDG_Report,_L_CM_080301_01,,,Tertiary education,Percent,,42.6
2014,Normal value,Units,Country Data,National_SDG_Report,_L_CM_080301_01,,,,Percent,,79.9
2016,Normal value,Units,Country Data,National_SDG_Report,_L_CM_080301_01,,,,Percent,,72.2
2021,Normal value,Units,Country Data,National_SDG_Report,_L_CM_080301_01,,Female,,Percent,,86.2
2021,Normal value,Units,Country Data,National_SDG_Report,_L_CM_080301_01,,Male,,Percent,,75.8
2021,Normal value,Units,Country Data,National_SDG_Report,_L_CM_080301_01,,,,Percent,,80.2
