Year,SERIES,UNIT_MEASURE,Time period details,Value
2015,GDP nominal (billions of CFA Francs),Local currency,2022,19043.1
2016,GDP nominal (billions of CFA Francs),Local currency,2022,20038.6
2017,GDP nominal (billions of CFA Francs),Local currency,2022,20960.9
2018,GDP nominal (billions of CFA Francs),Local currency,2022,22203.3
2019,GDP nominal (billions of CFA Francs),Local currency,2022,23243.7
2020,GDP nominal (billions of CFA Francs),Local currency,2022,23486.5
2021,GDP nominal (billions of CFA Francs),Local currency,2022,24950.3
2022,GDP nominal (billions of CFA Francs),Local currency,2022,27223.4
2015,"Imports of goods (billions of CFA francs) (Constant price, Base period Year 2016)",Local currency,2022,3503.1
2016,"Imports of goods (billions of CFA francs) (Constant price, Base period Year 2016)",Local currency,2022,3500.3
2017,"Imports of goods (billions of CFA francs) (Constant price, Base period Year 2016)",Local currency,2022,3394.7
2018,"Imports of goods (billions of CFA francs) (Constant price, Base period Year 2016)",Local currency,2022,3740.6
2019,"Imports of goods (billions of CFA francs) (Constant price, Base period Year 2016)",Local currency,2022,4219.1
2020,"Imports of goods (billions of CFA francs) (Constant price, Base period Year 2016)",Local currency,2022,3534.9
2021,"Imports of goods (billions of CFA francs) (Constant price, Base period Year 2016)",Local currency,2022,4141.2
2022,"Imports of goods (billions of CFA francs) (Constant price, Base period Year 2016)",Local currency,2022,4414.4
2015,"Imports of services (billions of CFA francs) (Constant price, Base period Year 2016)",Local currency,2022,792.8
2016,"Imports of services (billions of CFA francs) (Constant price, Base period Year 2016)",Local currency,2022,845.8
2017,"Imports of services (billions of CFA francs) (Constant price, Base period Year 2016)",Local currency,2022,899.0
2018,"Imports of services (billions of CFA francs) (Constant price, Base period Year 2016)",Local currency,2022,916.3
2019,"Imports of services (billions of CFA francs) (Constant price, Base period Year 2016)",Local currency,2022,970.1
2020,"Imports of services (billions of CFA francs) (Constant price, Base period Year 2016)",Local currency,2022,765.2
2021,"Imports of services (billions of CFA francs) (Constant price, Base period Year 2016)",Local currency,2022,736.8
2022,"Imports of services (billions of CFA francs) (Constant price, Base period Year 2016)",Local currency,2022,656.1
2015,"GDP real (base period, year 2016) (billions of CFA Francs)",Local currency,2022,19169.1
2016,"GDP real (base period, year 2016) (billions of CFA Francs)",Local currency,2022,20038.6
2017,"GDP real (base period, year 2016) (billions of CFA Francs)",Local currency,2022,20748.2
2018,"GDP real (base period, year 2016) (billions of CFA Francs)",Local currency,2022,21568.9
2019,"GDP real (base period, year 2016) (billions of CFA Francs)",Local currency,2022,22318.4
2020,"GDP real (base period, year 2016) (billions of CFA Francs)",Local currency,2022,22428.2
2021,"GDP real (base period, year 2016) (billions of CFA Francs)",Local currency,2022,23123.5
2022,"GDP real (base period, year 2016) (billions of CFA Francs)",Local currency,2022,23952.0
2015,Real GDP growth rate (%),Percent,2022,5.7
2016,Real GDP growth rate (%),Percent,2022,4.5
2017,Real GDP growth rate (%),Percent,2022,3.5
2018,Real GDP growth rate (%),Percent,2022,4.0
2019,Real GDP growth rate (%),Percent,2022,3.5
2020,Real GDP growth rate (%),Percent,2022,0.5
2021,Real GDP growth rate (%),Percent,2022,3.3
2022,Real GDP growth rate (%),Percent,2022,3.6
2015,Exports of goods (billions of CFA Francs) (current price),Local currency,2022,3066.8
2016,Exports of goods (billions of CFA Francs) (current price),Local currency,2022,2778.8
2017,Exports of goods (billions of CFA Francs) (current price),Local currency,2022,2727.9
2018,Exports of goods (billions of CFA Francs) (current price),Local currency,2022,2981.0
2019,Exports of goods (billions of CFA Francs) (current price),Local currency,2022,3305.5
2020,Exports of goods (billions of CFA Francs) (current price),Local currency,2022,2442.4
2021,Exports of goods (billions of CFA Francs) (current price),Local currency,2022,3113.4
2022,Exports of goods (billions of CFA Francs) (current price),Local currency,2022,4188.4
2015,Exports of services (billions of CFA Francs) (current price),Local currency,2022,930.1
2016,Exports of services (billions of CFA Francs) (current price),Local currency,2022,1018.5
2017,Exports of services (billions of CFA Francs) (current price),Local currency,2022,1118.6
2018,Exports of services (billions of CFA Francs) (current price),Local currency,2022,1179.1
2019,Exports of services (billions of CFA Francs) (current price),Local currency,2022,1308.4
2020,Exports of services (billions of CFA Francs) (current price),Local currency,2022,1088.8
2021,Exports of services (billions of CFA Francs) (current price),Local currency,2022,1007.2
2022,Exports of services (billions of CFA Francs) (current price),Local currency,2022,1063.5
2015,Imports of goods (billions of CFA Francs) (current price),Local currency,2022,3907.8
2016,Imports of goods (billions of CFA Francs) (current price),Local currency,2022,3500.3
2017,Imports of goods (billions of CFA Francs) (current price),Local currency,2022,3459.8
2018,Imports of goods (billions of CFA Francs) (current price),Local currency,2022,3845.9
2019,Imports of goods (billions of CFA Francs) (current price),Local currency,2022,4365.4
2020,Imports of goods (billions of CFA Francs) (current price),Local currency,2022,3422.4
2021,Imports of goods (billions of CFA Francs) (current price),Local currency,2022,4189.3
2022,Imports of goods (billions of CFA Francs) (current price),Local currency,2022,5190.5
2015,Imports of services (billions of CFA Francs) (current price),Local currency,2022,767.5
2016,Imports of services (billions of CFA Francs) (current price),Local currency,2022,845.8
2017,Imports of services (billions of CFA Francs) (current price),Local currency,2022,910.1
2018,Imports of services (billions of CFA Francs) (current price),Local currency,2022,1005.9
2019,Imports of services (billions of CFA Francs) (current price),Local currency,2022,1103.4
2020,Imports of services (billions of CFA Francs) (current price),Local currency,2022,858.3
2021,Imports of services (billions of CFA Francs) (current price),Local currency,2022,858.2
2022,Imports of services (billions of CFA Francs) (current price),Local currency,2022,797.4
2015,"Exports of goods (billions of CFA francs) (Constant price, Base period Year 2016)",Local currency,2022,2770.2
2016,"Exports of goods (billions of CFA francs) (Constant price, Base period Year 2016)",Local currency,2022,2778.8
2017,"Exports of goods (billions of CFA francs) (Constant price, Base period Year 2016)",Local currency,2022,2630.7
2018,"Exports of goods (billions of CFA francs) (Constant price, Base period Year 2016)",Local currency,2022,2638.7
2019,"Exports of goods (billions of CFA francs) (Constant price, Base period Year 2016)",Local currency,2022,2945.3
2020,"Exports of goods (billions of CFA francs) (Constant price, Base period Year 2016)",Local currency,2022,2524.6
2021,"Exports of goods (billions of CFA francs) (Constant price, Base period Year 2016)",Local currency,2022,2775.3
2022,"Exports of goods (billions of CFA francs) (Constant price, Base period Year 2016)",Local currency,2022,2874.1
2015,"Exports of services (billions of CFA francs) (Constant price, Base period Year 2016)",Local currency,2022,919.0
2016,"Exports of services (billions of CFA francs) (Constant price, Base period Year 2016)",Local currency,2022,1018.5
2017,"Exports of services (billions of CFA francs) (Constant price, Base period Year 2016)",Local currency,2022,1106.9
2018,"Exports of services (billions of CFA francs) (Constant price, Base period Year 2016)",Local currency,2022,1179.8
2019,"Exports of services (billions of CFA francs) (Constant price, Base period Year 2016)",Local currency,2022,1300.4
2020,"Exports of services (billions of CFA francs) (Constant price, Base period Year 2016)",Local currency,2022,1074.4
2021,"Exports of services (billions of CFA francs) (Constant price, Base period Year 2016)",Local currency,2022,985.9
