Year,Observation status,Unit multiplier,Nature of data points,Source details,SERIES,Reference area,Degree of urbanisation,UNIT_MEASURE,Time period details,GeoCode,Value
2011,Normal value,Units,Country Data,National_SDG_Report,Prevalence of malaria in children under 5 years (%),,,Percent,2018,,30.0
2014,Normal value,Units,Country Data,National_SDG_Report,Prevalence of malaria in children under 5 years (%),,,Percent,2018,,30.0
2018,Normal value,Units,Country Data,National_SDG_Report,Prevalence of malaria in children under 5 years (%),,,Percent,2018,,24.0
2011,Normal value,Units,Country Data,National_SDG_Report,Prevalence of malaria in children under 5 years (%),,Rural,Percent,2011,,37.1
2011,Normal value,Units,Country Data,National_SDG_Report,Prevalence of malaria in children under 5 years (%),,Urban,Percent,2011,,20.6
2004,Normal value,Units,Country Data,National_SDG_Report,Prevalence of antimalarial treatment (%),,,Percent,2018,,53.1
2011,Normal value,Units,Country Data,National_SDG_Report,Prevalence of antimalarial treatment (%),,,Percent,2018,,23.1
2018,Normal value,Units,Country Data,National_SDG_Report,Prevalence of antimalarial treatment (%),,,Percent,2018,,59.0
2004,Normal value,Units,Country Data,National_SDG_Report,Prevalence of antimalarial treatment (%),,Rural,Percent,2011,,48.0
2011,Normal value,Units,Country Data,National_SDG_Report,Prevalence of antimalarial treatment (%),,Rural,Percent,2011,,18.9
2004,Normal value,Units,Country Data,National_SDG_Report,Prevalence of antimalarial treatment (%),,Urban,Percent,2011,,58.9
2011,Normal value,Units,Country Data,National_SDG_Report,Prevalence of antimalarial treatment (%),,Urban,Percent,2011,,29.3
