Year,Observation status,Unit multiplier,Nature of data points,Source details,SERIES,Reference area,Degree of urbanisation,Education level,UNIT_MEASURE,GeoCode,Value
2014,Normal value,Units,Country Data,National_SDG_Report,Proportion of women of reproductive age (aged 15-49 years) using modern methods of family planning (any modern method) (%),,Urban,,Percent,,26.7
2018,Normal value,Units,Country Data,National_SDG_Report,Proportion of women of reproductive age (aged 15-49 years) using modern methods of family planning (any modern method) (%),,Urban,,Percent,,26.1
2014,Normal value,Units,Country Data,National_SDG_Report,Proportion of women of reproductive age (aged 15-49 years) using modern methods of family planning (any modern method) (%),,Rural,,Percent,,16.3
2018,Normal value,Units,Country Data,National_SDG_Report,Proportion of women of reproductive age (aged 15-49 years) using modern methods of family planning (any modern method) (%),,Rural,,Percent,,13.1
2014,Normal value,Units,Country Data,National_SDG_Report,Proportion of women of reproductive age (aged 15-49 years) using modern methods of family planning (any modern method) (%),,,Never attended an education programme / No schooling,Percent,,9.9
2014,Normal value,Units,Country Data,National_SDG_Report,Proportion of women of reproductive age (aged 15-49 years) using modern methods of family planning (any modern method) (%),,,Primary education,Percent,,21.9
2014,Normal value,Units,Country Data,National_SDG_Report,Proportion of women of reproductive age (aged 15-49 years) using modern methods of family planning (any modern method) (%),,,Secondary education (lower and upper secondary education),Percent,,28.8
2014,Normal value,Units,Country Data,National_SDG_Report,Proportion of women of reproductive age (aged 15-49 years) using modern methods of family planning (any modern method) (%),,,Tertiary education,Percent,,36.3
2014,Normal value,Units,Country Data,National_SDG_Report,Proportion of women of reproductive age (aged 15-49 years) using modern methods of family planning (any modern method) (%),,,,Percent,,21.0
2018,Normal value,Units,Country Data,National_SDG_Report,Proportion of women of reproductive age (aged 15-49 years) using modern methods of family planning (any modern method) (%),,,,Percent,,19.3
