Year,SERIES,Value
2017,Proportion of women in the Senate (%),20.0
2020,Proportion of women in the Senate (%),26.0
2023,Proportion of women in the Senate (%),33.0
2017,Proportion of women in the national assembly (%),30.6
2018,Proportion of women in the national assembly (%),31.11
2023,Proportion of women in the national assembly (%),33.89
2017,Proportion of women Mayors (%),8.3
2023,Proportion of women Mayors (%),10.16
2017,Proportion of women deputies to the mayor (%),31.8
2023,Proportion of women deputies to the mayor (%),34.13
2015,Proportion of women in the territorial command sphere (%),6.0
