Year,Observation status,Unit multiplier,Nature of data points,Source details,SERIES,Reference area,Sex,Degree of urbanisation,UNIT_MEASURE,GeoCode,Value
2014,Normal value,Units,Country Data,National_SDG_Report,_L_CM_080701_01,,,Urban,Percent,,7.4
2016,Normal value,Units,Country Data,National_SDG_Report,_L_CM_080701_01,,,Urban,Percent,,7.6
2014,Normal value,Units,Country Data,National_SDG_Report,_L_CM_080701_01,,,Rural,Percent,,22.3
2016,Normal value,Units,Country Data,National_SDG_Report,_L_CM_080701_01,,,Rural,Percent,,32.0
2014,Normal value,Units,Country Data,National_SDG_Report,_L_CM_080701_01,,Female,,Percent,,16.2
2016,Normal value,Units,Country Data,National_SDG_Report,_L_CM_080701_01,,Female,,Percent,,22.7
2014,Normal value,Units,Country Data,National_SDG_Report,_L_CM_080701_01,,Male,,Percent,,17.8
2016,Normal value,Units,Country Data,National_SDG_Report,_L_CM_080701_01,,Male,,Percent,,25.2
2014,Normal value,Units,Country Data,National_SDG_Report,_L_CM_080701_01,,,,Percent,,17.0
2016,Normal value,Units,Country Data,National_SDG_Report,_L_CM_080701_01,,,,Percent,,24.0
2014,Normal value,Units,Country Data,National_SDG_Report,_L_CM_080701_02,,,Urban,Number,,7232.0
2014,Normal value,Units,Country Data,National_SDG_Report,_L_CM_080701_02,,,Rural,Number,,8357.0
2014,Normal value,Units,Country Data,National_SDG_Report,_L_CM_080701_02,,Female,,Number,,7779.0
2014,Normal value,Units,Country Data,National_SDG_Report,_L_CM_080701_02,,Male,,Number,,7810.0
2014,Normal value,Units,Country Data,National_SDG_Report,_L_CM_080701_02,,,,Number,,15589.0
