Year,SERIES,UNIT_MEASURE,Value
2011,Number of passengers by rail transport (in thousands),Number,1487
2012,Number of passengers by rail transport (in thousands),Number,1451
2013,Number of passengers by rail transport (in thousands),Number,1419
2014,Number of passengers by rail transport (in thousands),Number,1559
2015,Number of passengers by rail transport (in thousands),Number,1663
2011,Freight volume by rail transport (in tons),Metric Tons,1541
2012,Freight volume by rail transport (in tons),Metric Tons,1617
2013,Freight volume by rail transport (in tons),Metric Tons,1664
2014,Freight volume by rail transport (in tons),Metric Tons,1664
2015,Freight volume by rail transport (in tons),Metric Tons,2113
