Year,Value,Unit multiplier,UNIT_MEASURE,SERIES
2015,19043.1,Billions,Local currency,GDP nominal (billions of CFA Francs)
2016,20038.6,Billions,Local currency,GDP nominal (billions of CFA Francs)
2017,20960.9,Billions,Local currency,GDP nominal (billions of CFA Francs)
2018,22203.3,Billions,Local currency,GDP nominal (billions of CFA Francs)
2019,23243.7,Billions,Local currency,GDP nominal (billions of CFA Francs)
2020,23486.5,Billions,Local currency,GDP nominal (billions of CFA Francs)
2021,24950.3,Billions,Local currency,GDP nominal (billions of CFA Francs)
2022,27223.4,Billions,Local currency,GDP nominal (billions of CFA Francs)
2015,19169.1,Billions,Local currency,"GDP real (base period, year 2016) (billions of CFA Francs)"
2016,20038.6,Billions,Local currency,"GDP real (base period, year 2016) (billions of CFA Francs)"
2017,20748.2,Billions,Local currency,"GDP real (base period, year 2016) (billions of CFA Francs)"
2018,21568.9,Billions,Local currency,"GDP real (base period, year 2016) (billions of CFA Francs)"
2019,22318.4,Billions,Local currency,"GDP real (base period, year 2016) (billions of CFA Francs)"
2020,22428.2,Billions,Local currency,"GDP real (base period, year 2016) (billions of CFA Francs)"
2021,23123.5,Billions,Local currency,"GDP real (base period, year 2016) (billions of CFA Francs)"
2022,23952.0,Billions,Local currency,"GDP real (base period, year 2016) (billions of CFA Francs)"
2015,5.7,Units,Percent,Real GDP growth rate (%)
2016,4.5,Units,Percent,Real GDP growth rate (%)
2017,3.5,Units,Percent,Real GDP growth rate (%)
2018,4.0,Units,Percent,Real GDP growth rate (%)
2019,3.5,Units,Percent,Real GDP growth rate (%)
2020,0.5,Units,Percent,Real GDP growth rate (%)
2021,3.3,Units,Percent,Real GDP growth rate (%)
2022,3.6,Units,Percent,Real GDP growth rate (%)
2015,3066.8,Billions,Local currency,Exports of goods (billions of CFA Francs) (current price)
2016,2778.8,Billions,Local currency,Exports of goods (billions of CFA Francs) (current price)
2017,2727.9,Billions,Local currency,Exports of goods (billions of CFA Francs) (current price)
2018,2981.0,Billions,Local currency,Exports of goods (billions of CFA Francs) (current price)
2019,3305.5,Billions,Local currency,Exports of goods (billions of CFA Francs) (current price)
2020,2442.4,Billions,Local currency,Exports of goods (billions of CFA Francs) (current price)
2021,3113.4,Billions,Local currency,Exports of goods (billions of CFA Francs) (current price)
2022,4188.4,Billions,Local currency,Exports of goods (billions of CFA Francs) (current price)
2015,930.1,Billions,Local currency,Exports of services (billions of CFA Francs) (current price)
2016,1018.5,Billions,Local currency,Exports of services (billions of CFA Francs) (current price)
2017,1118.6,Billions,Local currency,Exports of services (billions of CFA Francs) (current price)
2018,1179.1,Billions,Local currency,Exports of services (billions of CFA Francs) (current price)
2019,1308.4,Billions,Local currency,Exports of services (billions of CFA Francs) (current price)
2020,1088.8,Billions,Local currency,Exports of services (billions of CFA Francs) (current price)
2021,1007.2,Billions,Local currency,Exports of services (billions of CFA Francs) (current price)
2022,1063.5,Billions,Local currency,Exports of services (billions of CFA Francs) (current price)
2015,3907.8,Billions,Local currency,Imports of goods (billions of CFA Francs) (current price)
2016,3500.3,Billions,Local currency,Imports of goods (billions of CFA Francs) (current price)
2017,3459.8,Billions,Local currency,Imports of goods (billions of CFA Francs) (current price)
