Year,Value,SERIES
1991,64,Infant mortality rate [3.2.1]
1998,77,Infant mortality rate [3.2.1]
2004,74,Infant mortality rate [3.2.1]
2011,62,Infant mortality rate [3.2.1]
2014,66,Infant mortality rate [3.2.1]
2018,48,Infant mortality rate [3.2.1]
1991,125,Under-five mortality rate [3.2.1]
1998,151,Under-five mortality rate [3.2.1]
2004,144,Under-five mortality rate [3.2.1]
2011,122,Under-five mortality rate [3.2.1]
2014,112,Under-five mortality rate [3.2.1]
2018,79,Under-five mortality rate [3.2.1]
