Year,Value,SERIES
2015,42,Proportion of primary schools with access to water (%)
2016,48,Proportion of primary schools with access to water (%)
2015,23,Proportion of primary schools with access to electricity (%)
2016,28,Proportion of primary schools with access to electricity (%)
2015,57,Proportion of primary schools with access to sanitation facilities (%)
2016,59,Proportion of primary schools with access to sanitation facilities (%)
2015,60,Proportion of pre-schools with access to water (%)
2016,60,Proportion of pre-schools with access to water (%)
2015,46,Proportion of preschools with access to electricity (%)
2016,45,Proportion of preschools with access to electricity (%)
2015,73,Proportion of preschools with access to sanitation facilities (%)
2016,70,Proportion of preschools with access to sanitation facilities (%)
