Year,Value,Unit multiplier,UNIT_MEASURE,SERIES
2010,14.5,Units,Percent,Manufacturing value added as a proportion of GDP [9.2.1]
2011,14.7,Units,Percent,Manufacturing value added as a proportion of GDP [9.2.1]
2012,15.1,Units,Percent,Manufacturing value added as a proportion of GDP [9.2.1]
2013,15.0,Units,Percent,Manufacturing value added as a proportion of GDP [9.2.1]
2014,14.4,Units,Percent,Manufacturing value added as a proportion of GDP [9.2.1]
2015,14.7,Units,Percent,Manufacturing value added as a proportion of GDP [9.2.1]
2016,14.9,Units,Percent,Manufacturing value added as a proportion of GDP [9.2.1]
2017,15.1,Units,Percent,Manufacturing value added as a proportion of GDP [9.2.1]
2010,659.011,Thousands,Local currency,Manufacturing value added per capita [9.2.1]
2012,108.6,Thousands,Local currency,Manufacturing value added per capita [9.2.1]
2013,113.3,Thousands,Local currency,Manufacturing value added per capita [9.2.1]
2015,120.9,Thousands,Local currency,Manufacturing value added per capita [9.2.1]
2017,132.2,Thousands,Local currency,Manufacturing value added per capita [9.2.1]
