Year,OBS_STATUS,UNIT_MULT,NATURE,SOURCE_DETAIL,SERIES,REF_AREA,URBANISATION,UNIT_MEASURE,GeoCode,Value
2011,A,0,C,National_SDG_Report,_L_CM_010402_01,,U,PT,,36.7
2011,A,0,C,National_SDG_Report,_L_CM_010402_02,,R,PT,,80.6
2011,A,0,C,National_SDG_Report,_L_CM_010402_03,,U,PT,,13.0
2011,A,0,C,National_SDG_Report,_L_CM_010402_03,,R,PT,,7.0
2011,A,0,C,National_SDG_Report,_L_CM_010402_03,,,PT,,9.8
2011,A,0,C,National_SDG_Report,_L_CM_010402_04,,U,PT,,44.8
2011,A,0,C,National_SDG_Report,_L_CM_010402_04,,R,PT,,82.5
2011,A,0,C,National_SDG_Report,_L_CM_010402_04,,,PT,,64.7
2011,A,0,C,National_SDG_Report,_L_CM_010402_05,,U,PT,,4.7
2011,A,0,C,National_SDG_Report,_L_CM_010402_05,,R,PT,,2.4
2011,A,0,C,National_SDG_Report,_L_CM_010402_05,,,PT,,3.5
