Year,OBS_STATUS,UNIT_MULT,NATURE,SOURCE_DETAIL,SERIES,REF_AREA,URBANISATION,EDUCATION_LEV,UNIT_MEASURE,TIME_DETAIL,GeoCode,Value
2006,A,0,C,National_SDG_Report,SH_STA_BRTC,,,,PT,2018,,58.9
2011,A,0,C,National_SDG_Report,SH_STA_BRTC,,,,PT,2018,,63.6
2014,A,0,C,National_SDG_Report,SH_STA_BRTC,,,,PT,2018,,64.7
2018,A,0,C,National_SDG_Report,SH_STA_BRTC,,,,PT,2018,,69.0
2014,A,0,C,National_SDG_Report,SH_STA_BRTC,,,AGG_2_3,PT,2014,,91.9
2014,A,0,C,National_SDG_Report,SH_STA_BRTC,,,AGG_5T8,PT,2014,,97.4
2014,A,0,C,National_SDG_Report,SH_STA_BRTC,,,ISCED11_1,PT,2014,,65.4
2014,A,0,C,National_SDG_Report,SH_STA_BRTC,,,ISCED11A_01,PT,2014,,29.5
2014,A,0,C,National_SDG_Report,SH_STA_BRTC,,R,,PT,2018,,48.8
2018,A,0,C,National_SDG_Report,SH_STA_BRTC,,R,,PT,2018,,52.5
2014,A,0,C,National_SDG_Report,SH_STA_BRTC,,U,,PT,2018,,87.9
2018,A,0,C,National_SDG_Report,SH_STA_BRTC,,U,,PT,2018,,89.5
