Year,OBS_STATUS,UNIT_MULT,NATURE,SOURCE_DETAIL,SERIES,REF_AREA,UNIT_MEASURE,GeoCode,Value
2013,A,0,C,National_SDG_Report,_L_CM_030401_01,,PT,,4.7
2013,A,0,C,National_SDG_Report,_L_CM_030401_02,,PT,,2.0
2013,A,0,C,National_SDG_Report,_L_CM_030401_03,,PT,,1.4
2013,A,0,C,National_SDG_Report,_L_CM_030401_05,,PT,,5.6
2013,A,0,C,National_SDG_Report,_L_CM_030401_06,,PT,,10.1
2013,A,0,C,National_SDG_Report,_L_CM_030401_07,,PT,,2.9
2013,A,0,C,National_SDG_Report,_L_CM_030401_08,,PT,,11.6
2013,A,0,C,National_SDG_Report,_L_CM_030401_09,,PT,,4.5
2013,A,0,C,National_SDG_Report,Poids des décès dus aux maladies respiratoires chroniques (%),,PT,,1.5
2013,A,0,C,National_SDG_Report,Poids des décès dus aux maladies mentales et abus de substances (%),,PT,,0.9
2013,A,0,C,National_SDG_Report,Poids des décès dus aux maladies diarrhéiques (%),,PT,,5.0
2013,A,0,C,National_SDG_Report,Poids des décès dus aux infections respiratoires basses (%),,PT,,10.5
2013,A,0,C,National_SDG_Report,Poids des décès dus aux accidents non intentionnels (%),,PT,,2.9
