Year,OBS_STATUS,UNIT_MULT,NATURE,SOURCE_DETAIL,SERIES,REF_AREA,URBANISATION,EDUCATION_LEV,UNIT_MEASURE,GeoCode,Value
2014,A,0,C,National_SDG_Report,_L_CM_030701_01,,U,,PT,,26.7
2018,A,0,C,National_SDG_Report,_L_CM_030701_01,,U,,PT,,26.1
2014,A,0,C,National_SDG_Report,_L_CM_030701_01,,R,,PT,,16.3
2018,A,0,C,National_SDG_Report,_L_CM_030701_01,,R,,PT,,13.1
2014,A,0,C,National_SDG_Report,_L_CM_030701_01,,,ISCED11A_01,PT,,9.9
2014,A,0,C,National_SDG_Report,_L_CM_030701_01,,,ISCED11_1,PT,,21.9
2014,A,0,C,National_SDG_Report,_L_CM_030701_01,,,AGG_2_3,PT,,28.8
2014,A,0,C,National_SDG_Report,_L_CM_030701_01,,,AGG_5T8,PT,,36.3
2014,A,0,C,National_SDG_Report,_L_CM_030701_01,,,,PT,,21.0
2018,A,0,C,National_SDG_Report,_L_CM_030701_01,,,,PT,,19.3
