Year,OBS_STATUS,UNIT_MULT,NATURE,SOURCE_DETAIL,SERIES,REF_AREA,SEX,UNIT_MEASURE,TIME_DETAIL,GeoCode,Value
2015,A,0,C,National_SDG_Report,_L_CM_040101_1,,,PT,2017,,76.3
2016,A,0,C,National_SDG_Report,_L_CM_040101_1,,,PT,2017,,76.7
2017,A,0,C,National_SDG_Report,_L_CM_040101_1,,,PT,2017,,72.5
2015,A,0,C,National_SDG_Report,_L_CM_040101_1,,F,PT,2016,,72.8
2016,A,0,C,National_SDG_Report,_L_CM_040101_1,,F,PT,2016,,72.6
2015,A,0,C,National_SDG_Report,_L_CM_040101_1,,M,PT,2016,,79.7
2016,A,0,C,National_SDG_Report,_L_CM_040101_1,,M,PT,2016,,79.4
2015,A,0,C,National_SDG_Report,_L_CM_040101_2,,,PT,2015,,53.2
2015,A,0,C,National_SDG_Report,_L_CM_040101_2,,F,PT,2015,,48.9
2015,A,0,C,National_SDG_Report,_L_CM_040101_2,,M,PT,2015,,57.4
2015,A,0,C,National_SDG_Report,_L_CM_040101_3,,,PT,2015,,59.3
2015,A,0,C,National_SDG_Report,_L_CM_040101_3,,F,PT,2015,,55.9
2015,A,0,C,National_SDG_Report,_L_CM_040101_3,,M,PT,2015,,62.6
