Year,OBS_STATUS,UNIT_MULT,NATURE,SOURCE_DETAIL,SERIES,REF_AREA,SEX,EDUCATION_LEV,UNIT_MEASURE,GeoCode,Value
2014,A,0,C,National_SDG_Report,_L_CM_080301_1,,F,,PT,,85.3
2016,A,0,C,National_SDG_Report,_L_CM_080301_1,,F,,PT,,76.1
2014,A,0,C,National_SDG_Report,_L_CM_080301_1,,M,,PT,,75.8
2016,A,0,C,National_SDG_Report,_L_CM_080301_1,,M,,PT,,69.1
2014,A,0,C,National_SDG_Report,_L_CM_080301_1,,,ISCED11A_01,PT,,95.5
2014,A,0,C,National_SDG_Report,_L_CM_080301_1,,,ISCED11_1,PT,,92.9
2014,A,0,C,National_SDG_Report,_L_CM_080301_1,,,ISCED11_2,PT,,86.4
2014,A,0,C,National_SDG_Report,_L_CM_080301_1,,,ISCED11_3,PT,,67.1
2014,A,0,C,National_SDG_Report,_L_CM_080301_1,,,AGG_5T8,PT,,42.6
2014,A,0,C,National_SDG_Report,_L_CM_080301_1,,,,PT,,79.9
2016,A,0,C,National_SDG_Report,_L_CM_080301_1,,,,PT,,72.2
