Year,Status de l'observation,Multiplicateur d'unité,NATURE,SOURCE_DETAIL,SERIES,Aire Geographique,Sexe,Milieu de résidence,Niveau d'Etude,UNIT_MEASURE,GeoCode,Value
2014,Valeur Normale,Unité,C,National_SDG_Report,Rémunération horaire moyenne des salariés (Francs CFA XAF),,,Urbain,,Francs CFA XAF,,627.9
2014,Valeur Normale,Unité,C,National_SDG_Report,Rémunération horaire moyenne des salariés (Francs CFA XAF),,,Rural,,Francs CFA XAF,,482.2
2014,Valeur Normale,Unité,C,National_SDG_Report,Rémunération horaire moyenne des salariés (Francs CFA XAF),,Féminin,,,Francs CFA XAF,,496.4
2014,Valeur Normale,Unité,C,National_SDG_Report,Rémunération horaire moyenne des salariés (Francs CFA XAF),,Masculin,,,Francs CFA XAF,,627.4
2014,Valeur Normale,Unité,C,National_SDG_Report,Rémunération horaire moyenne des salariés (Francs CFA XAF),,,,Sans niveau scolaire,Francs CFA XAF,,659.9
2014,Valeur Normale,Unité,C,National_SDG_Report,Rémunération horaire moyenne des salariés (Francs CFA XAF),,,,Primaire,Francs CFA XAF,,341.7
2014,Valeur Normale,Unité,C,National_SDG_Report,Rémunération horaire moyenne des salariés (Francs CFA XAF),,,,Secondaire premier cycle,Francs CFA XAF,,415.0
2014,Valeur Normale,Unité,C,National_SDG_Report,Rémunération horaire moyenne des salariés (Francs CFA XAF),,,,Secondaire second cycle,Francs CFA XAF,,492.5
2014,Valeur Normale,Unité,C,National_SDG_Report,Rémunération horaire moyenne des salariés (Francs CFA XAF),,,,Enseignement Supérieur,Francs CFA XAF,,1048.0
2014,Valeur Normale,Unité,C,National_SDG_Report,Rémunération horaire moyenne des salariés (Francs CFA XAF),,,,,Francs CFA XAF,,589.6
2021,Valeur Normale,Unité,C,National_SDG_Report,Rémunération horaire moyenne des salariés (Francs CFA XAF),,,,,Francs CFA XAF,,579.0
