Year,SERIES,SEX,URBANISATION,TIME_DETAIL,Value
2014,_L_CM_080502_1,,,2016,3.3
2016,_L_CM_080502_1,,,2016,2.6
2014,_L_CM_080502_1,,R,2016,0.9
2016,_L_CM_080502_1,,R,2016,0.6
2014,_L_CM_080502_1,,U,2016,7.1
2016,_L_CM_080502_1,,U,2016,6.7
2014,_L_CM_080502_1,F,,2016,3.8
2016,_L_CM_080502_1,F,,2016,3.0
2014,_L_CM_080502_1,M,,2016,2.9
2016,_L_CM_080502_1,M,,2016,2.3
2014,_L_CM_080502_2,,,2016,6.3
2016,_L_CM_080502_2,,,2016,6.3
2014,_L_CM_080502_3,,,2014,77.6
2014,SL_TLF_UEM,,,2021,4.3
2021,SL_TLF_UEM,,,2021,6.1
