Year,OBS_STATUS,UNIT_MULT,NATURE,SOURCE_DETAIL,SERIES,REF_AREA,SEX,URBANISATION,UNIT_MEASURE,TIME_DETAIL,GeoCode,Value
2014,A,0,C,National_SDG_Report,Proportion d’enfants de 5 à 17 ans qui travaillent (%),,,,PT,2016,,17.0
2016,A,0,C,National_SDG_Report,Proportion d’enfants de 5 à 17 ans qui travaillent (%),,,,PT,2016,,24.0
2014,A,0,C,National_SDG_Report,Proportion d’enfants de 5 à 17 ans qui travaillent (%),,,R,PT,2016,,22.3
2016,A,0,C,National_SDG_Report,Proportion d’enfants de 5 à 17 ans qui travaillent (%),,,R,PT,2016,,32.0
2014,A,0,C,National_SDG_Report,Proportion d’enfants de 5 à 17 ans qui travaillent (%),,,U,PT,2016,,7.4
2016,A,0,C,National_SDG_Report,Proportion d’enfants de 5 à 17 ans qui travaillent (%),,,U,PT,2016,,7.6
2014,A,0,C,National_SDG_Report,Proportion d’enfants de 5 à 17 ans qui travaillent (%),,F,,PT,2016,,16.2
2016,A,0,C,National_SDG_Report,Proportion d’enfants de 5 à 17 ans qui travaillent (%),,F,,PT,2016,,22.7
2014,A,0,C,National_SDG_Report,Proportion d’enfants de 5 à 17 ans qui travaillent (%),,M,,PT,2016,,17.8
2016,A,0,C,National_SDG_Report,Proportion d’enfants de 5 à 17 ans qui travaillent (%),,M,,PT,2016,,25.2
2014,A,0,C,National_SDG_Report,Effectifs des enfants de 5 à 17 ans qui travaillent,,,,NUMBER,2014,,15589.0
2014,A,0,C,National_SDG_Report,Effectifs des enfants de 5 à 17 ans qui travaillent,,,R,NUMBER,2014,,8357.0
2014,A,0,C,National_SDG_Report,Effectifs des enfants de 5 à 17 ans qui travaillent,,,U,NUMBER,2014,,7232.0
2014,A,0,C,National_SDG_Report,Effectifs des enfants de 5 à 17 ans qui travaillent,,F,,NUMBER,2014,,7779.0
2014,A,0,C,National_SDG_Report,Effectifs des enfants de 5 à 17 ans qui travaillent,,M,,NUMBER,2014,,7810.0
