Year,OBS_STATUS,UNIT_MULT,NATURE,SOURCE_DETAIL,SERIES,REF_AREA,URBANISATION,UNIT_MEASURE,GeoCode,Value
2011,A,0,C,National_SDG_Report,_L_CM_010402_1,,U,PT,,36.7
2011,A,0,C,National_SDG_Report,_L_CM_010402_1,,R,PT,,80.6
2011,A,0,C,National_SDG_Report,_L_CM_010402_1,,,PT,,59.8
2011,A,0,C,National_SDG_Report,_L_CM_010402_2,,U,PT,,13.0
2011,A,0,C,National_SDG_Report,_L_CM_010402_2,,R,PT,,7.0
2011,A,0,C,National_SDG_Report,_L_CM_010402_2,,,PT,,9.8
2011,A,0,C,National_SDG_Report,_L_CM_010402_3,,U,PT,,44.8
2011,A,0,C,National_SDG_Report,_L_CM_010402_3,,R,PT,,82.5
2011,A,0,C,National_SDG_Report,_L_CM_010402_3,,,PT,,64.7
2011,A,0,C,National_SDG_Report,_L_CM_010402_4,,U,PT,,4.7
2011,A,0,C,National_SDG_Report,_L_CM_010402_4,,R,PT,,2.4
2011,A,0,C,National_SDG_Report,_L_CM_010402_4,,,PT,,3.5
