Year,OBS_STATUS,UNIT_MULT,NATURE,SOURCE_DETAIL,SERIES,REF_AREA,URBANISATION,EDUCATION_LEV,UNIT_MEASURE,GeoCode,Value
2014,A,0,C,National Institute of Statistics,Proportion of births attended by skilled health personnel [3.1.2],,U,,PT,,87.9
2018,A,0,C,National Institute of Statistics,Proportion of births attended by skilled health personnel [3.1.2],,U,,PT,,89.5
2014,A,0,C,National Institute of Statistics,Proportion of births attended by skilled health personnel [3.1.2],,R,,PT,,48.8
2018,A,0,C,National Institute of Statistics,Proportion of births attended by skilled health personnel [3.1.2],,R,,PT,,52.5
2014,A,0,C,National Institute of Statistics,Proportion of births attended by skilled health personnel [3.1.2],,,ISCED11A_01,PT,,29.5
2014,A,0,C,National Institute of Statistics,Proportion of births attended by skilled health personnel [3.1.2],,,ISCED11_1,PT,,65.4
2014,A,0,C,National Institute of Statistics,Proportion of births attended by skilled health personnel [3.1.2],,,AGG_2_3,PT,,91.9
2014,A,0,C,National Institute of Statistics,Proportion of births attended by skilled health personnel [3.1.2],,,AGG_5T8,PT,,97.4
2006,A,0,C,National Institute of Statistics,Proportion of births attended by skilled health personnel [3.1.2],,,,PT,,58.9
2011,A,0,C,National Institute of Statistics,Proportion of births attended by skilled health personnel [3.1.2],,,,PT,,63.6
2014,A,0,C,National Institute of Statistics,Proportion of births attended by skilled health personnel [3.1.2],,,,PT,,64.7
2018,A,0,C,National Institute of Statistics,Proportion of births attended by skilled health personnel [3.1.2],,,,PT,,69.0
