Year,OBS_STATUS,UNIT_MULT,NATURE,SOURCE_DETAIL,SERIES,REF_AREA,SEX,UNIT_MEASURE,TIME_DETAIL,GeoCode,Value
2015,A,0,C,National_SDG_Report,Taux d’achèvement au cycle primaire (%),,,PT,2017,,76.3
2016,A,0,C,National_SDG_Report,Taux d’achèvement au cycle primaire (%),,,PT,2017,,76.7
2017,A,0,C,National_SDG_Report,Taux d’achèvement au cycle primaire (%),,,PT,2017,,72.5
2015,A,0,C,National_SDG_Report,Taux d’achèvement au cycle primaire (%),,F,PT,2016,,72.8
2016,A,0,C,National_SDG_Report,Taux d’achèvement au cycle primaire (%),,F,PT,2016,,72.6
2015,A,0,C,National_SDG_Report,Taux d’achèvement au cycle primaire (%),,M,PT,2016,,79.7
2016,A,0,C,National_SDG_Report,Taux d’achèvement au cycle primaire (%),,M,PT,2016,,79.4
2015,A,0,C,National_SDG_Report,Taux d’achèvement au 1er cycle secondaire Enseignement Général (%),,,PT,2015,,53.2
2015,A,0,C,National_SDG_Report,Taux d’achèvement au 1er cycle secondaire Enseignement Général (%),,F,PT,2015,,48.9
2015,A,0,C,National_SDG_Report,Taux d’achèvement au 1er cycle secondaire Enseignement Général (%),,M,PT,2015,,57.4
2015,A,0,C,National_SDG_Report,Taux d’achèvement au 1er cycle secondaire Enseignement Technique (%),,,PT,2015,,59.3
2015,A,0,C,National_SDG_Report,Taux d’achèvement au 1er cycle secondaire Enseignement Technique (%),,F,PT,2015,,55.9
2015,A,0,C,National_SDG_Report,Taux d’achèvement au 1er cycle secondaire Enseignement Technique (%),,M,PT,2015,,62.6
