Year,SERIES,URBANISATION,EDUCATION_LEV,TIME_DETAIL,Value
2014,SP_DYN_MRBF15,,,2018,10.2
2018,SP_DYN_MRBF15,,,2018,10.7
2014,SP_DYN_MRBF15,,AGG_2_3,2014,3.6
2014,SP_DYN_MRBF15,,AGG_5T8,2014,0.4
2014,SP_DYN_MRBF15,,ISCED11_1,2014,19.0
2014,SP_DYN_MRBF15,,ISCED11A_01,2014,21.7
2014,SP_DYN_MRBF15,R,,2014,16.1
2014,SP_DYN_MRBF15,U,,2014,5.3
2014,SP_DYN_MRBF18,,,2018,31.0
2018,SP_DYN_MRBF18,,,2018,29.8
2014,SP_DYN_MRBF18,,AGG_2_3,2014,15.9
2014,SP_DYN_MRBF18,,AGG_5T8,2014,0.8
2014,SP_DYN_MRBF18,,ISCED11_1,2014,49.6
2014,SP_DYN_MRBF18,,ISCED11A_01,2014,59.4
2014,SP_DYN_MRBF18,R,,2014,43.3
2014,SP_DYN_MRBF18,U,,2014,20.8
