Year,OBS_STATUS,UNIT_MULT,NATURE,SOURCE_DETAIL,SERIES,REF_AREA,URBANISATION,EDUCATION_LEV,UNIT_MEASURE,TIME_DETAIL,GeoCode,Value
2014,A,0,C,National_SDG_Report,_L_CM_050601_1,,,,PT,2018,,13.3
2018,A,0,C,National_SDG_Report,_L_CM_050601_1,,,,PT,2018,,3.9
2014,A,0,C,National_SDG_Report,_L_CM_050601_1,,,AGG_2_3,PT,2014,,18.7
2014,A,0,C,National_SDG_Report,_L_CM_050601_1,,,AGG_5T8,PT,2014,,12.3
2014,A,0,C,National_SDG_Report,_L_CM_050601_1,,,ISCED11_1,PT,2014,,15.7
2014,A,0,C,National_SDG_Report,_L_CM_050601_1,,,ISCED11A_01,PT,2014,,5.0
2014,A,0,C,National_SDG_Report,_L_CM_050601_1,,R,,PT,2018,,11.4
2018,A,0,C,National_SDG_Report,_L_CM_050601_1,,R,,PT,2018,,2.5
2014,A,0,C,National_SDG_Report,_L_CM_050601_1,,U,,PT,2018,,15.6
2018,A,0,C,National_SDG_Report,_L_CM_050601_1,,U,,PT,2018,,5.4
2014,A,0,C,National_SDG_Report,_L_CM_050601_2,,,,PT,2018,,21.0
2018,A,0,C,National_SDG_Report,_L_CM_050601_2,,,,PT,2018,,15.4
2014,A,0,C,National_SDG_Report,_L_CM_050601_2,,,AGG_2_3,PT,2014,,28.8
2014,A,0,C,National_SDG_Report,_L_CM_050601_2,,,AGG_5T8,PT,2014,,36.3
2014,A,0,C,National_SDG_Report,_L_CM_050601_2,,,ISCED11_1,PT,2014,,21.9
2014,A,0,C,National_SDG_Report,_L_CM_050601_2,,,ISCED11A_01,PT,2014,,9.9
2014,A,0,C,National_SDG_Report,_L_CM_050601_2,,R,,PT,2018,,16.3
2018,A,0,C,National_SDG_Report,_L_CM_050601_2,,R,,PT,2018,,10.6
2014,A,0,C,National_SDG_Report,_L_CM_050601_2,,U,,PT,2018,,26.7
2018,A,0,C,National_SDG_Report,_L_CM_050601_2,,U,,PT,2018,,20.7
2014,A,0,C,National_SDG_Report,_L_CM_050601_3,,,,PT,2018,,34.4
2018,A,0,C,National_SDG_Report,_L_CM_050601_3,,,,PT,2018,,19.3
2014,A,0,C,National_SDG_Report,_L_CM_050601_3,,,AGG_2_3,PT,2014,,47.6
2014,A,0,C,National_SDG_Report,_L_CM_050601_3,,,AGG_5T8,PT,2014,,48.5
2014,A,0,C,National_SDG_Report,_L_CM_050601_3,,,ISCED11_1,PT,2014,,37.7
2014,A,0,C,National_SDG_Report,_L_CM_050601_3,,,ISCED11A_01,PT,2014,,14.9
2014,A,0,C,National_SDG_Report,_L_CM_050601_3,,R,,PT,2018,,27.7
2018,A,0,C,National_SDG_Report,_L_CM_050601_3,,R,,PT,2018,,13.1
2014,A,0,C,National_SDG_Report,_L_CM_050601_3,,U,,PT,2018,,42.4
2018,A,0,C,National_SDG_Report,_L_CM_050601_3,,U,,PT,2018,,26.1
