Year,OBS_STATUS,UNIT_MULT,NATURE,SOURCE_DETAIL,SERIES,REF_AREA,SEX,EDUCATION_LEV,UNIT_MEASURE,TIME_DETAIL,GeoCode,Value
2014,A,0,C,National_SDG_Report,Proportion de l’emploi informel dans les secteurs non agricoles (%),,,,PT,2016,,79.9
2016,A,0,C,National_SDG_Report,Proportion de l’emploi informel dans les secteurs non agricoles (%),,,,PT,2016,,72.2
2014,A,0,C,National_SDG_Report,Proportion de l’emploi informel dans les secteurs non agricoles (%),,,AGG_5T8,PT,2014,,42.6
2014,A,0,C,National_SDG_Report,Proportion de l’emploi informel dans les secteurs non agricoles (%),,,ISCED11_1,PT,2014,,92.9
2014,A,0,C,National_SDG_Report,Proportion de l’emploi informel dans les secteurs non agricoles (%),,,ISCED11_2,PT,2014,,86.4
2014,A,0,C,National_SDG_Report,Proportion de l’emploi informel dans les secteurs non agricoles (%),,,ISCED11_3,PT,2014,,67.1
2014,A,0,C,National_SDG_Report,Proportion de l’emploi informel dans les secteurs non agricoles (%),,,ISCED11A_01,PT,2014,,95.5
2014,A,0,C,National_SDG_Report,Proportion de l’emploi informel dans les secteurs non agricoles (%),,F,,PT,2016,,85.3
2016,A,0,C,National_SDG_Report,Proportion de l’emploi informel dans les secteurs non agricoles (%),,F,,PT,2016,,76.1
2014,A,0,C,National_SDG_Report,Proportion de l’emploi informel dans les secteurs non agricoles (%),,M,,PT,2016,,75.8
2016,A,0,C,National_SDG_Report,Proportion de l’emploi informel dans les secteurs non agricoles (%),,M,,PT,2016,,69.1
