Year,OBS_STATUS,UNIT_MULT,NATURE,SOURCE_DETAIL,SERIES,REF_AREA,SEX,URBANISATION,UNIT_MEASURE,GeoCode,Value
2014,A,0,C,National_SDG_Report,_L_CM_080701_1,,,U,PT,,7.4
2016,A,0,C,National_SDG_Report,_L_CM_080701_1,,,U,PT,,7.6
2014,A,0,C,National_SDG_Report,_L_CM_080701_1,,,R,PT,,22.3
2016,A,0,C,National_SDG_Report,_L_CM_080701_1,,,R,PT,,32.0
2014,A,0,C,National_SDG_Report,_L_CM_080701_1,,F,,PT,,16.2
2016,A,0,C,National_SDG_Report,_L_CM_080701_1,,F,,PT,,22.7
2014,A,0,C,National_SDG_Report,_L_CM_080701_1,,M,,PT,,17.8
2016,A,0,C,National_SDG_Report,_L_CM_080701_1,,M,,PT,,25.2
2014,A,0,C,National_SDG_Report,_L_CM_080701_1,,,,PT,,17.0
2016,A,0,C,National_SDG_Report,_L_CM_080701_1,,,,PT,,24.0
2014,A,0,C,National_SDG_Report,_L_CM_080701_2,,,U,NUMBER,,7232.0
2014,A,0,C,National_SDG_Report,_L_CM_080701_2,,,R,NUMBER,,8357.0
2014,A,0,C,National_SDG_Report,_L_CM_080701_2,,F,,NUMBER,,7779.0
2014,A,0,C,National_SDG_Report,_L_CM_080701_2,,M,,NUMBER,,7810.0
2014,A,0,C,National_SDG_Report,_L_CM_080701_2,,,,NUMBER,,15589.0
