Year,SERIES,REF_AREA,GeoCode,Value
2014,_L_CM_090101_1,,,33.0
2014,_L_CM_090101_1,CM_AD,CM_AD,42.6
2014,_L_CM_090101_1,CM_CE,CM_CE,54.2
2014,_L_CM_090101_1,CM_EN,CM_EN,20.1
2014,_L_CM_090101_1,CM_ES,CM_ES,34.1
2014,_L_CM_090101_1,CM_LT,CM_LT,62.8
2014,_L_CM_090101_1,CM_NO,CM_NO,20.5
2014,_L_CM_090101_1,CM_NW,CM_NW,41.5
2014,_L_CM_090101_1,CM_OU,CM_OU,30.7
2014,_L_CM_090101_1,CM_SU,CM_SU,62.5
2014,_L_CM_090101_1,CM_SW,CM_SW,28.7
2014,SP_ROD_R2KM,,,33.0
2014,SP_ROD_R2KM,CM_AD,CM_AD,42.6
2014,SP_ROD_R2KM,CM_CE,CM_CE,54.2
2014,SP_ROD_R2KM,CM_EN,CM_EN,20.1
2014,SP_ROD_R2KM,CM_ES,CM_ES,34.1
2014,SP_ROD_R2KM,CM_LT,CM_LT,62.8
2014,SP_ROD_R2KM,CM_NO,CM_NO,20.5
2014,SP_ROD_R2KM,CM_NW,CM_NW,41.5
2014,SP_ROD_R2KM,CM_OU,CM_OU,30.7
2014,SP_ROD_R2KM,CM_SU,CM_SU,62.5
2014,SP_ROD_R2KM,CM_SW,CM_SW,28.7
