Year,OBS_STATUS,UNIT_MULT,NATURE,SOURCE_DETAIL,SERIES,REF_AREA,URBANISATION,UNIT_MEASURE,GeoCode,Value
2014,A,0,C,National_SDG_Report,_L_CM_010401_1,,U,PT,,60.8
2016,A,0,C,National_SDG_Report,_L_CM_010401_1,,U,PT,,90.5
2014,A,0,C,National_SDG_Report,_L_CM_010401_1,,R,PT,,14.9
2016,A,0,C,National_SDG_Report,_L_CM_010401_1,,R,PT,,16.3
2014,A,0,C,National_SDG_Report,_L_CM_010401_1,,,PT,,33.4
2016,A,0,C,National_SDG_Report,_L_CM_010401_1,,,PT,,63.0
2014,A,0,C,National_SDG_Report,_L_CM_010401_2,,U,PT,,96.2
2014,A,0,C,National_SDG_Report,_L_CM_010401_2,,R,PT,,31.7
2014,A,0,C,National_SDG_Report,_L_CM_010401_2,,,PT,,58.4
2016,A,0,C,National_SDG_Report,_L_CM_010401_2,,,PT,,53.0
