Year,OBS_STATUS,UNIT_MULT,NATURE,SOURCE_DETAIL,SERIES,REF_AREA,SEX,UNIT_MEASURE,GeoCode,Value
2015,A,0,C,National_SDG_Report,_L_CM_040101_1,,F,PT,,72.8
2016,A,0,C,National_SDG_Report,_L_CM_040101_1,,F,PT,,72.6
2015,A,0,C,National_SDG_Report,_L_CM_040101_1,,M,PT,,79.7
2016,A,0,C,National_SDG_Report,_L_CM_040101_1,,M,PT,,79.4
2015,A,0,C,National_SDG_Report,_L_CM_040101_1,,,PT,,76.3
2016,A,0,C,National_SDG_Report,_L_CM_040101_1,,,PT,,76.7
2017,A,0,C,National_SDG_Report,_L_CM_040101_1,,,PT,,72.5
2015,A,0,C,National_SDG_Report,_L_CM_040101_2,,F,PT,,48.9
2015,A,0,C,National_SDG_Report,_L_CM_040101_2,,M,PT,,57.4
2015,A,0,C,National_SDG_Report,_L_CM_040101_2,,,PT,,53.2
2015,A,0,C,National_SDG_Report,_L_CM_040101_3,,F,PT,,55.9
2015,A,0,C,National_SDG_Report,_L_CM_040101_3,,M,PT,,62.6
2015,A,0,C,National_SDG_Report,_L_CM_040101_3,,,PT,,59.3
