Year,OBS_STATUS,UNIT_MULT,NATURE,SOURCE_DETAIL,SERIES,REF_AREA,UNIT_MEASURE,TIME_DETAIL,GeoCode,Value
2015,A,0,C,National_SDG_Report,_L_CM_040a01_1,,PT,2016,,42
2016,A,0,C,National_SDG_Report,_L_CM_040a01_1,,PT,2016,,48
2015,A,0,C,National_SDG_Report,_L_CM_040a01_2,,PT,2016,,23
2016,A,0,C,National_SDG_Report,_L_CM_040a01_2,,PT,2016,,28
2015,A,0,C,National_SDG_Report,_L_CM_040a01_3,,PT,2016,,57
2016,A,0,C,National_SDG_Report,_L_CM_040a01_3,,PT,2016,,59
2015,A,0,C,National_SDG_Report,_L_CM_040a01_4,,PT,2016,,60
2016,A,0,C,National_SDG_Report,_L_CM_040a01_4,,PT,2016,,60
2015,A,0,C,National_SDG_Report,_L_CM_040a01_5,,PT,2016,,46
2016,A,0,C,National_SDG_Report,_L_CM_040a01_5,,PT,2016,,45
2015,A,0,C,National_SDG_Report,_L_CM_040a01_6,,PT,2016,,73
2016,A,0,C,National_SDG_Report,_L_CM_040a01_6,,PT,2016,,70
