Year,SERIES,URBANISATION,EDUCATION_LEV,Value
2014,SP_DYN_MRBF15,U,,5.3
2014,SP_DYN_MRBF15,R,,16.1
2014,SP_DYN_MRBF15,,ISCED11A_01,21.7
2014,SP_DYN_MRBF15,,ISCED11_1,19.0
2014,SP_DYN_MRBF15,,AGG_2_3,3.6
2014,SP_DYN_MRBF15,,AGG_5T8,0.4
2014,SP_DYN_MRBF15,,,10.2
2018,SP_DYN_MRBF15,,,10.7
2014,SP_DYN_MRBF18,U,,20.8
2014,SP_DYN_MRBF18,R,,43.3
2014,SP_DYN_MRBF18,,ISCED11A_01,59.4
2014,SP_DYN_MRBF18,,ISCED11_1,49.6
2014,SP_DYN_MRBF18,,AGG_2_3,15.9
2014,SP_DYN_MRBF18,,AGG_5T8,0.8
2014,SP_DYN_MRBF18,,,31.0
2018,SP_DYN_MRBF18,,,29.8
