Year,OBS_STATUS,UNIT_MULT,NATURE,SOURCE_DETAIL,SERIES,REF_AREA,URBANISATION,UNIT_MEASURE,GeoCode,Value
2014,A,0,C,National_SDG_Report,_L_CM_070101_01,,U,PT,,96.2
2016,A,0,C,National_SDG_Report,_L_CM_070101_01,,U,PT,,95.4
2014,A,0,C,National_SDG_Report,_L_CM_070101_01,,R,PT,,32.8
2016,A,0,C,National_SDG_Report,_L_CM_070101_01,,R,PT,,28.4
2014,A,0,C,National_SDG_Report,_L_CM_070101_01,,,PT,,58.4
2016,A,0,C,National_SDG_Report,_L_CM_070101_01,,,PT,,53.0
2014,A,0,C,National_SDG_Report,_L_CM_070101_01,CM_AD,,PT,CM_AD,41.5
2014,A,0,C,National_SDG_Report,_L_CM_070101_01,CM_ES,,PT,CM_ES,33.0
2014,A,0,C,National_SDG_Report,_L_CM_070101_01,CM_EN,,PT,CM_EN,22.1
2014,A,0,C,National_SDG_Report,_L_CM_070101_01,CM_NO,,PT,CM_NO,23.0
2014,A,0,C,National_SDG_Report,_L_CM_070101_01,CM_NW,,PT,CM_NW,49.6
2014,A,0,C,National_SDG_Report,_L_CM_070101_01,CM_OU,,PT,CM_OU,68.9
2014,A,0,C,National_SDG_Report,_L_CM_070101_01,CM_SU,,PT,CM_SU,72.3
2014,A,0,C,National_SDG_Report,_L_CM_070101_01,CM_SW,,PT,CM_SW,66.1
2014,A,0,C,National_SDG_Report,_L_CM_070101_01,CM_CE_Sans_YDE,,PT,CM_CE_Sans_YDE,69.1
2014,A,0,C,National_SDG_Report,_L_CM_070101_01,CM_LT_Sans_DLA,,PT,CM_LT_Sans_DLA,80.1
2014,A,0,C,National_SDG_Report,_L_CM_070101_01,CM_YDE,,PT,CM_YDE,99.1
2014,A,0,C,National_SDG_Report,_L_CM_070101_01,CM_DLA,,PT,CM_DLA,98.4
