Year,OBS_STATUS,UNIT_MULT,NATURE,SOURCE_DETAIL,SERIES,REF_AREA,URBANISATION,UNIT_MEASURE,TIME_DETAIL,GeoCode,Value
2014,A,0,C,National_SDG_Report,_L_CM_070101_2,,,PT,2014,,71.9
2014,A,0,C,National_SDG_Report,_L_CM_070101_2,,R,PT,2014,,92.7
2014,A,0,C,National_SDG_Report,_L_CM_070101_2,,U,PT,2014,,41.0
2014,A,0,C,National_SDG_Report,_L_CM_070101_2,CM_AD,,PT,2014,CM_AD,83.6
2014,A,0,C,National_SDG_Report,_L_CM_070101_2,CM_CE_Sans_YDE,,PT,2014,CM_CE_Sans_YDE,81.6
2014,A,0,C,National_SDG_Report,_L_CM_070101_2,CM_DLA,,PT,2014,CM_DLA,25.2
2014,A,0,C,National_SDG_Report,_L_CM_070101_2,CM_EN,,PT,2014,CM_EN,93.8
2014,A,0,C,National_SDG_Report,_L_CM_070101_2,CM_ES,,PT,2014,CM_ES,90.3
2014,A,0,C,National_SDG_Report,_L_CM_070101_2,CM_LT_Sans_DLA,,PT,2014,CM_LT_Sans_DLA,76.5
2014,A,0,C,National_SDG_Report,_L_CM_070101_2,CM_NO,,PT,2014,CM_NO,93.2
2014,A,0,C,National_SDG_Report,_L_CM_070101_2,CM_NW,,PT,2014,CM_NW,88.7
2014,A,0,C,National_SDG_Report,_L_CM_070101_2,CM_OU,,PT,2014,CM_OU,88.7
2014,A,0,C,National_SDG_Report,_L_CM_070101_2,CM_SU,,PT,2014,CM_SU,77.9
2014,A,0,C,National_SDG_Report,_L_CM_070101_2,CM_SW,,PT,2014,CM_SW,69.6
2014,A,0,C,National_SDG_Report,_L_CM_070101_2,CM_YDE,,PT,2014,CM_YDE,26.0
