Year,OBS_STATUS,UNIT_MULT,NATURE,SOURCE_DETAIL,SERIES,REF_AREA,SEX,URBANISATION,UNIT_MEASURE,TIME_DETAIL,GeoCode,Value
2007,A,0,C,National_SDG_Report,SI_POV_NAHC,,,,PT,2021,,39.9
2014,A,0,C,National_SDG_Report,SI_POV_NAHC,,,,PT,2021,,37.5
2021,A,0,C,National_SDG_Report,SI_POV_NAHC,,,,PT,2021,,38.6
2007,A,0,C,National_SDG_Report,SI_POV_NAHC,,,R,PT,2021,,55.0
2014,A,0,C,National_SDG_Report,SI_POV_NAHC,,,R,PT,2021,,56.8
2021,A,0,C,National_SDG_Report,SI_POV_NAHC,,,R,PT,2021,,58.3
2007,A,0,C,National_SDG_Report,SI_POV_NAHC,,,U,PT,2021,,12.2
2014,A,0,C,National_SDG_Report,SI_POV_NAHC,,,U,PT,2021,,8.9
2021,A,0,C,National_SDG_Report,SI_POV_NAHC,,,U,PT,2021,,16.5
2007,A,0,C,National_SDG_Report,SI_POV_NAHC,,F,,PT,2014,,40.2
2014,A,0,C,National_SDG_Report,SI_POV_NAHC,,F,,PT,2014,,37.7
2007,A,0,C,National_SDG_Report,SI_POV_NAHC,,M,,PT,2014,,39.5
2014,A,0,C,National_SDG_Report,SI_POV_NAHC,,M,,PT,2014,,37.2
