Year,UNIT_MULT,SDG Series,Unit of measure,Value
2015,9,GDP nominal (billions of CFA Francs),Local currency,19043.1
2016,9,GDP nominal (billions of CFA Francs),Local currency,20038.6
2017,9,GDP nominal (billions of CFA Francs),Local currency,20960.9
2018,9,GDP nominal (billions of CFA Francs),Local currency,22203.3
2019,9,GDP nominal (billions of CFA Francs),Local currency,23243.7
2020,9,GDP nominal (billions of CFA Francs),Local currency,23486.5
2021,9,GDP nominal (billions of CFA Francs),Local currency,24950.3
2022,9,GDP nominal (billions of CFA Francs),Local currency,27223.4
2015,9,"GDP real (base period, year 2016) (billions of CFA Francs)",Local currency,19169.1
2016,9,"GDP real (base period, year 2016) (billions of CFA Francs)",Local currency,20038.6
2017,9,"GDP real (base period, year 2016) (billions of CFA Francs)",Local currency,20748.2
2018,9,"GDP real (base period, year 2016) (billions of CFA Francs)",Local currency,21568.9
2019,9,"GDP real (base period, year 2016) (billions of CFA Francs)",Local currency,22318.4
2020,9,"GDP real (base period, year 2016) (billions of CFA Francs)",Local currency,22428.2
2021,9,"GDP real (base period, year 2016) (billions of CFA Francs)",Local currency,23123.5
2022,9,"GDP real (base period, year 2016) (billions of CFA Francs)",Local currency,23952.0
2015,0,Real GDP growth rate (%),Percent,5.7
2016,0,Real GDP growth rate (%),Percent,4.5
2017,0,Real GDP growth rate (%),Percent,3.5
2018,0,Real GDP growth rate (%),Percent,4.0
2019,0,Real GDP growth rate (%),Percent,3.5
2020,0,Real GDP growth rate (%),Percent,0.5
2021,0,Real GDP growth rate (%),Percent,3.3
2022,0,Real GDP growth rate (%),Percent,3.6
2015,9,Exports of goods (billions of CFA Francs) (current price),Local currency,3066.8
2016,9,Exports of goods (billions of CFA Francs) (current price),Local currency,2778.8
2017,9,Exports of goods (billions of CFA Francs) (current price),Local currency,2727.9
2018,9,Exports of goods (billions of CFA Francs) (current price),Local currency,2981.0
2019,9,Exports of goods (billions of CFA Francs) (current price),Local currency,3305.5
2020,9,Exports of goods (billions of CFA Francs) (current price),Local currency,2442.4
2021,9,Exports of goods (billions of CFA Francs) (current price),Local currency,3113.4
2022,9,Exports of goods (billions of CFA Francs) (current price),Local currency,4188.4
2015,9,Exports of services (billions of CFA Francs) (current price),Local currency,930.1
2016,9,Exports of services (billions of CFA Francs) (current price),Local currency,1018.5
2017,9,Exports of services (billions of CFA Francs) (current price),Local currency,1118.6
2018,9,Exports of services (billions of CFA Francs) (current price),Local currency,1179.1
2019,9,Exports of services (billions of CFA Francs) (current price),Local currency,1308.4
2020,9,Exports of services (billions of CFA Francs) (current price),Local currency,1088.8
2021,9,Exports of services (billions of CFA Francs) (current price),Local currency,1007.2
2022,9,Exports of services (billions of CFA Francs) (current price),Local currency,1063.5
2015,9,Imports of goods (billions of CFA Francs) (current price),Local currency,3907.8
2016,9,Imports of goods (billions of CFA Francs) (current price),Local currency,3500.3
2017,9,Imports of goods (billions of CFA Francs) (current price),Local currency,3459.8
2018,9,Imports of goods (billions of CFA Francs) (current price),Local currency,3845.9
2019,9,Imports of goods (billions of CFA Francs) (current price),Local currency,4365.4
2020,9,Imports of goods (billions of CFA Francs) (current price),Local currency,3422.4
2021,9,Imports of goods (billions of CFA Francs) (current price),Local currency,4189.3
2022,9,Imports of goods (billions of CFA Francs) (current price),Local currency,5190.5
2015,9,Imports of services (billions of CFA Francs) (current price),Local currency,767.5
2016,9,Imports of services (billions of CFA Francs) (current price),Local currency,845.8
2017,9,Imports of services (billions of CFA Francs) (current price),Local currency,910.1
2018,9,Imports of services (billions of CFA Francs) (current price),Local currency,1005.9
2019,9,Imports of services (billions of CFA Francs) (current price),Local currency,1103.4
2020,9,Imports of services (billions of CFA Francs) (current price),Local currency,858.3
2021,9,Imports of services (billions of CFA Francs) (current price),Local currency,858.2
2022,9,Imports of services (billions of CFA Francs) (current price),Local currency,797.4
2015,9,"Exports of goods (billions of CFA francs) (Constant price, Base period Year 2016)",Local currency,2770.2
2016,9,"Exports of goods (billions of CFA francs) (Constant price, Base period Year 2016)",Local currency,2778.8
2017,9,"Exports of goods (billions of CFA francs) (Constant price, Base period Year 2016)",Local currency,2630.7
2018,9,"Exports of goods (billions of CFA francs) (Constant price, Base period Year 2016)",Local currency,2638.7
2019,9,"Exports of goods (billions of CFA francs) (Constant price, Base period Year 2016)",Local currency,2945.3
2020,9,"Exports of goods (billions of CFA francs) (Constant price, Base period Year 2016)",Local currency,2524.6
2021,9,"Exports of goods (billions of CFA francs) (Constant price, Base period Year 2016)",Local currency,2775.3
2022,9,"Exports of goods (billions of CFA francs) (Constant price, Base period Year 2016)",Local currency,2874.1
2015,9,"Exports of services (billions of CFA francs) (Constant price, Base period Year 2016)",Local currency,919.0
2016,9,"Exports of services (billions of CFA francs) (Constant price, Base period Year 2016)",Local currency,1018.5
2017,9,"Exports of services (billions of CFA francs) (Constant price, Base period Year 2016)",Local currency,1106.9
2018,9,"Exports of services (billions of CFA francs) (Constant price, Base period Year 2016)",Local currency,1179.8
2019,9,"Exports of services (billions of CFA francs) (Constant price, Base period Year 2016)",Local currency,1300.4
2020,9,"Exports of services (billions of CFA francs) (Constant price, Base period Year 2016)",Local currency,1074.4
2021,9,"Exports of services (billions of CFA francs) (Constant price, Base period Year 2016)",Local currency,985.9
2022,9,"Exports of services (billions of CFA francs) (Constant price, Base period Year 2016)",Local currency,1012.3
2015,9,"Imports of goods (billions of CFA francs) (Constant price, Base period Year 2016)",Local currency,3503.1
2016,9,"Imports of goods (billions of CFA francs) (Constant price, Base period Year 2016)",Local currency,3500.3
2017,9,"Imports of goods (billions of CFA francs) (Constant price, Base period Year 2016)",Local currency,3394.7
