Year,OBS_STATUS,UNIT_MULT,NATURE,SOURCE_DETAIL,SERIES,REF_AREA,UNIT_MEASURE,TIME_DETAIL,GeoCode,Value
2012,A,0,C,National_SDG_Report,_L_CM_020302_1,,CUR_LCU,2012,,360439
2012,A,0,C,National_SDG_Report,_L_CM_020302_1,CM_AD,CUR_LCU,2012,CM_AD,479861
2012,A,0,C,National_SDG_Report,_L_CM_020302_1,CM_CE,CUR_LCU,2012,CM_CE,145966
2012,A,0,C,National_SDG_Report,_L_CM_020302_1,CM_EN,CUR_LCU,2012,CM_EN,243336
2012,A,0,C,National_SDG_Report,_L_CM_020302_1,CM_ES,CUR_LCU,2012,CM_ES,229255
2012,A,0,C,National_SDG_Report,_L_CM_020302_1,CM_LT,CUR_LCU,2012,CM_LT,502447
2012,A,0,C,National_SDG_Report,_L_CM_020302_1,CM_NO,CUR_LCU,2012,CM_NO,430857
2012,A,0,C,National_SDG_Report,_L_CM_020302_1,CM_NW,CUR_LCU,2012,CM_NW,576369
2012,A,0,C,National_SDG_Report,_L_CM_020302_1,CM_OU,CUR_LCU,2012,CM_OU,210989
2012,A,0,C,National_SDG_Report,_L_CM_020302_1,CM_SU,CUR_LCU,2012,CM_SU,692982
2012,A,0,C,National_SDG_Report,_L_CM_020302_1,CM_SW,CUR_LCU,2012,CM_SW,195909
2012,A,0,C,National_SDG_Report,_L_CM_020302_2,,CUR_LCU,2012,,518831
2012,A,0,C,National_SDG_Report,_L_CM_020302_2,CM_AD,CUR_LCU,2012,CM_AD,1007072
2012,A,0,C,National_SDG_Report,_L_CM_020302_2,CM_CE,CUR_LCU,2012,CM_CE,572614
2012,A,0,C,National_SDG_Report,_L_CM_020302_2,CM_EN,CUR_LCU,2012,CM_EN,336576
2012,A,0,C,National_SDG_Report,_L_CM_020302_2,CM_ES,CUR_LCU,2012,CM_ES,779030
2012,A,0,C,National_SDG_Report,_L_CM_020302_2,CM_LT,CUR_LCU,2012,CM_LT,835771
2012,A,0,C,National_SDG_Report,_L_CM_020302_2,CM_NO,CUR_LCU,2012,CM_NO,704686
2012,A,0,C,National_SDG_Report,_L_CM_020302_2,CM_NW,CUR_LCU,2012,CM_NW,260944
2012,A,0,C,National_SDG_Report,_L_CM_020302_2,CM_OU,CUR_LCU,2012,CM_OU,423690
2012,A,0,C,National_SDG_Report,_L_CM_020302_2,CM_SU,CUR_LCU,2012,CM_SU,854499
2012,A,0,C,National_SDG_Report,_L_CM_020302_2,CM_SW,CUR_LCU,2012,CM_SW,462931
