Year,OBS_STATUS,UNIT_MULT,NATURE,SOURCE_DETAIL,SERIES,REF_AREA,UNIT_MEASURE,GeoCode,Value
2013,A,0,C,National_SDG_Report,_L_CM_030401_11,,PT,,0.9
2013,A,0,C,National_SDG_Report,_L_CM_030401_12,,PT,,5.0
2013,A,0,C,National_SDG_Report,_L_CM_030401_1,,PT,,4.7
2013,A,0,C,National_SDG_Report,_L_CM_030401_2,,PT,,2.0
2013,A,0,C,National_SDG_Report,_L_CM_030401_3,,PT,,1.4
2013,A,0,C,National_SDG_Report,_L_CM_030401_4,,PT,,3.5
2013,A,0,C,National_SDG_Report,_L_CM_030401_5,,PT,,5.6
2013,A,0,C,National_SDG_Report,_L_CM_030401_6,,PT,,10.1
2013,A,0,C,National_SDG_Report,_L_CM_030401_7,,PT,,2.9
2013,A,0,C,National_SDG_Report,_L_CM_030401_8,,PT,,11.6
2013,A,0,C,National_SDG_Report,_L_CM_030401_9,,PT,,4.5
2013,A,0,C,National_SDG_Report,_L_CM_030401_10,,PT,,1.5
2013,A,0,C,National_SDG_Report,_L_CM_030401_13,,PT,,10.5
2013,A,0,C,National_SDG_Report,_L_CM_030401_14,,PT,,2.9
