Year,OBS_STATUS,UNIT_MULT,NATURE,SOURCE_DETAIL,SERIES,REF_AREA,URBANISATION,EDUCATION_LEV,UNIT_MEASURE,GeoCode,Value
2014,A,0,C,National_SDG_Report,_L_CM_050601_1,,U,,PT,,15.6
2018,A,0,C,National_SDG_Report,_L_CM_050601_1,,U,,PT,,5.4
2014,A,0,C,National_SDG_Report,_L_CM_050601_1,,R,,PT,,11.4
2018,A,0,C,National_SDG_Report,_L_CM_050601_1,,R,,PT,,2.5
2014,A,0,C,National_SDG_Report,_L_CM_050601_1,,,ISCED11A_01,PT,,5.0
2014,A,0,C,National_SDG_Report,_L_CM_050601_1,,,ISCED11_1,PT,,15.7
2014,A,0,C,National_SDG_Report,_L_CM_050601_1,,,AGG_2_3,PT,,18.7
2014,A,0,C,National_SDG_Report,_L_CM_050601_1,,,AGG_5T8,PT,,12.3
2014,A,0,C,National_SDG_Report,_L_CM_050601_1,,,,PT,,13.3
2018,A,0,C,National_SDG_Report,_L_CM_050601_1,,,,PT,,3.9
2014,A,0,C,National_SDG_Report,_L_CM_050601_2,,U,,PT,,26.7
2018,A,0,C,National_SDG_Report,_L_CM_050601_2,,U,,PT,,20.7
2014,A,0,C,National_SDG_Report,_L_CM_050601_2,,R,,PT,,16.3
2018,A,0,C,National_SDG_Report,_L_CM_050601_2,,R,,PT,,10.6
2014,A,0,C,National_SDG_Report,_L_CM_050601_2,,,ISCED11A_01,PT,,9.9
2014,A,0,C,National_SDG_Report,_L_CM_050601_2,,,ISCED11_1,PT,,21.9
2014,A,0,C,National_SDG_Report,_L_CM_050601_2,,,AGG_2_3,PT,,28.8
2014,A,0,C,National_SDG_Report,_L_CM_050601_2,,,AGG_5T8,PT,,36.3
2014,A,0,C,National_SDG_Report,_L_CM_050601_2,,,,PT,,21.0
2018,A,0,C,National_SDG_Report,_L_CM_050601_2,,,,PT,,15.4
2014,A,0,C,National_SDG_Report,_L_CM_050601_3,,U,,PT,,42.4
2018,A,0,C,National_SDG_Report,_L_CM_050601_3,,U,,PT,,26.1
2014,A,0,C,National_SDG_Report,_L_CM_050601_3,,R,,PT,,27.7
2018,A,0,C,National_SDG_Report,_L_CM_050601_3,,R,,PT,,13.1
2014,A,0,C,National_SDG_Report,_L_CM_050601_3,,,ISCED11A_01,PT,,14.9
2014,A,0,C,National_SDG_Report,_L_CM_050601_3,,,ISCED11_1,PT,,37.7
2014,A,0,C,National_SDG_Report,_L_CM_050601_3,,,AGG_2_3,PT,,47.6
2014,A,0,C,National_SDG_Report,_L_CM_050601_3,,,AGG_5T8,PT,,48.5
2014,A,0,C,National_SDG_Report,_L_CM_050601_3,,,,PT,,34.4
2018,A,0,C,National_SDG_Report,_L_CM_050601_3,,,,PT,,19.3
