Value,Disaggregation combinations using this value,Number of indicators
Annual growth rate of real GDP per capita (%),1,1
Annual growth rate of real GDP (%),1,1
"Annual inflation, consumer prices (%) [17.13.1]",1,1
Area of degraded land between 2008 and 2016 (Thousands of hectares),1,1
Average annual income generated by agriculture (In CFA Francs XAF),11,1
Average annual income generated by livestock (in CFA Francs XAF),11,1
Burden of cancers in all diseases (%),1,1
Burden of cardiovascular diseases in all diseases(%),1,1
Burden of chronic respiratory diseases in all diseases (%),1,1
Burden of diarrheal diseases in all diseases (%),1,1
Burden of diseases  related to road accidents (%),1,1
Burden of low respiratory infections in all diseases (%),1,1
Burden of mental diseases and substance abuse in all diseases (%),1,1
Burden of unintentional accidents in all diseases (%),1,1
Completion rate at lower secondary level General Education (%),3,1
Completion rate at the lower secondary level Technical Education (%),3,1
"Coverage of protected areas, in proportion to national area (%)",1,1
"Coverage of protected areas (National Parks), in proportion to national area (%)",1,1
"Coverage of protected areas (Sanctuaries), in proportion to national area (%)",1,1
"Coverage of protected areas (Wildlife Reserves), in proportion to national area (%)",1,1
"Coverage of protected areas (ZIC and ZIC GC), in proportion to national area (%)",1,1
Death rate due to cancer (%),1,1
Death rate due to cardiovascular diseases (%),1,1
Death rate due to chronic respiratory diseases (%),1,1
Death rate due to diarrheal diseases (%),1,1
Death rate due to low respiratory infections (%),1,1
Death rate due to mental diseases and substance abuse (%),1,1
Death rate due to road traffic injuries [3.6.1],1,1
Death rate due to unintentional accidents (%),1,1
"Exports of goods (billions of CFA francs) (Constant price, Base period Year 2016)",1,1
Exports of goods (billions of CFA Francs) (current price),1,1
"Exports of services (billions of CFA francs) (Constant price, Base period Year 2016)",1,1
Exports of services (billions of CFA Francs) (current price),1,1
Extent of forest,1,1
Extent of wetlands,1,1
Forest area as a proportion of total land area [15.1.1],1,1
"Forest area (Non-permanent forests), as a percentage of the total land area (%)",1,1
"Forest area (Permanent forests), as a percentage of the total land area (%)",1,1
Freight volume by rail transport (in tons),1,1
GDP nominal (billions of CFA Francs),1,1
"GDP real (base period, year 2016) (billions of CFA Francs)",1,1
Gross enrollment ratio in preschool (%),3,1
Growth rates of household expenditure for the poorest 40% of the population between 2007 and 2014 (%),1,1
Growth rates of household expenditure for the total household between 2007 and 2014 (%),1,1
"Imports of goods (billions of CFA francs) (Constant price, Base period Year 2016)",1,1
Imports of goods (billions of CFA Francs) (current price),1,1
"Imports of services (billions of CFA francs) (Constant price, Base period Year 2016)",1,1
Imports of services (billions of CFA Francs) (current price),1,1
Infant mortality rate [3.2.1],1,1
Land area restored from 2008 to 2016 (Thousand Hectares),1,1
Manufacturing value added as a proportion of GDP [9.2.1],1,1
Manufacturing value added per capita [9.2.1],1,1
Net enrollment ratio in preschool (%),3,1
Nombre d'espèces animales en danger,1,1
Nombre d'espèces végétale en danger,1,1
Number of children aged 5-17 years engaged in child labour,5,1
Number of new cases of tuberculosis with positive microscopy (TPM +) (per 100 000 inhabitants),1,1
Number of notified tuberculosis cases (per 100 000 inhabitants),1,1
Number of passengers by rail transport (in thousands),1,1
Part des énergies renouvelables dans le mix électrique à la production,1,1
Part des énergies renouvelables hors bois énergie dans le mix énergétique à la consommation,1,1
Percentage of the population of households using the improved toilets (%),3,1
Prevalence of antimalarial treatment (%),3,1
Prevalence of malaria in children under 5 years (%),3,1
Prevalence of moderate food insecurity in the population (%),1,1
